硫辛酸注射液,脂肪肝
复方甘草酸苷注射液,湿疹
复方甘草酸苷注射液,荨麻疹
辅酶Q10胶囊,心血管疾病
多烯磷脂酰胆碱注射液,慢性肝炎
多烯磷脂酰胆碱注射液,肝硬化
多烯磷脂酰胆碱注射液,脂肪肝
多烯磷脂酰胆碱注射液,神经性皮炎
注射用还原型谷胱甘肽,贫血
注射用还原型谷胱甘肽,败血症
唑来膦酸注射液,骨痛
注射用生长抑素,十二指肠溃疡
富马酸比索洛尔片,心绞痛
厄贝沙坦片,高血压病
尼可地尔片,冠心病
尼可地尔片,心绞痛
福辛普利钠片,心力衰竭
福辛普利钠片,高血压
注射用硝普钠,急性心力衰竭
注射用硝普钠,急性心力衰竭
盐酸特拉唑嗪片,高血压
吲达帕胺片,高血压
盐酸地尔硫卓片,心绞痛
盐酸地尔硫卓片,高血压
盐酸贝那普利片,高血压
硝苯地平控释片,高血压
硝苯地平控释片,心绞痛
硫酸镁注射液,高血压
甲磺酸酚妥拉明注射液,高血压
苯磺酸氨氯地平片,高血压
苯磺酸氨氯地平片,心绞痛
苯磺酸左旋氨氯地平片,高血压
苯磺酸左旋氨氯地平片,心绞痛
注射用生长抑素,胃溃疡
匹多莫德颗粒,支气管炎
头孢呋辛酯片,急性支气管炎
注射用头孢噻肟钠,肺炎
注射用头孢噻肟钠,尿路感染
注射用头孢噻肟钠,脑膜炎
注射用头孢噻肟钠,败血症
注射用头孢噻肟钠,腹腔感染
注射用头孢唑林钠,中耳炎
注射用头孢唑林钠,支气管炎
注射用头孢唑林钠,肺炎
注射用头孢唑林钠,尿路感染
注射用头孢唑林钠,败血症
注射用头孢他啶,泌尿道感染
注射用头孢他啶,败血症
注射用头孢他啶,脑膜炎
注射用头孢曲松钠,胆道感染
注射用头孢曲松钠,腹腔感染
注射用头孢曲松钠,败血症
注射用头孢曲松钠,脑膜炎
注射用头孢哌酮钠舒巴坦钠,泌尿道感染
